TextBook ID,TextBook Name,Medium,Grade,Subject,Status,Created On,Last Updated On,Total content linked,Total QR codes linked to content,Total number of QR codes with no linked content,Total number of leaf nodes,Number of leaf nodes with no content
do_312981056161267712110,Psychology,English,Class 11,Psychology,Live,2020-03-19,2020-03-19,20,9,0,73,53
do_312981226008166400111,Social Change and Development in India,English,Class 12,Sociology,Live,2020-03-19,2020-03-20,18,8,0,66,48
do_31298104195012198411,SCIENCE TEXT BOOK FOR CLASS VI,English,Class 6,Science,Live,2020-03-19,2020-03-21,56,16,0,56,0
do_312981330879193088117,Chemistry Part-1,English,Class 11,Chemistry,Live,2020-03-19,2020-03-20,9,7,0,51,42
do_312981338824802304120,Math-Magic Book 5 Textbook in Mathematics for ClassV,English,Class 5,Mathematics,Live,2020-03-19,2020-03-21,14,14,0,98,84
do_312981028358873088110,व्याकरणवीथि:,Sanskrit,"Class 9,Class 10",Sanskrit,Live,2020-03-19,2020-03-19,8,6,0,8,0
do_312981327026429952112,Understanding Society,English,Class 11,Sociology,Live,2020-03-19,2020-03-23,9,5,0,39,30
do_312981716322164736139,Introducing Sociology,English,Class 11,Sociology,Live,2020-03-20,2020-03-20,12,5,0,39,27
do_312981800814886912134,मनोविज्ञान,Hindi,Class 11,Psychology,Live,2020-03-20,2020-03-23,9,9,0,63,54
do_312981324130951168110,मनोविज्ञान,Hindi,Class 12,Psychology,Live,2020-03-19,2020-03-20,9,9,0,63,54
do_312981804503900160133,Indian Society,English,Class 12,Sociology,Live,2020-03-20,2020-03-23,8,6,1,52,44
do_312981809678204928132,लेखाशास्त्र -कंपनी खाते एवं वित्तीय विवरणों का विश्लेषण,Hindi,Class 12,Accountancy,Live,2020-03-20,2020-03-21,6,6,0,42,36
do_312981806854995968150,Accountancy Part - II,English,Class 12,Accountancy,Live,2020-03-20,2020-03-20,7,5,0,43,36
